yearmonth,pr,eto,tasmin,tasmax,tas
1980 Jan,211.364805368277,100.509155579573,22.4147480791547,31.2010589089187,26.8079034940367
1980 Feb,120.165795566062,113.896847812382,22.5285321391132,32.1399502617027,27.334241200408
1980 Mar,227.26943890724,104.322758722587,22.835252324596,31.3140157924215,27.0746340585087
1980 Apr,262.794926262466,96.9317962326242,22.6662141427486,30.9866527041975,26.826433423473
1980 May,165.84592554273,112.76124119547,23.0432309501839,31.6835400919396,27.3633855210618
1980 Jun,142.882392059416,97.6193222886712,22.4895414104123,31.3467066627517,26.918124036582
1980 Jul,112.021996739348,111.762916718009,22.0819525535745,31.4420737721443,26.7620131628594
1980 Aug,102.12214524365,114.712012379833,22.4414884083415,32.3046946783151,27.3730915433283
1980 Sep,65.5056828464982,121.335389743895,22.6580457164456,32.9290166945147,27.7935312054801
1980 Oct,140.003756559812,114.532104458329,22.9044269751811,32.3625878321121,27.6335074036466
1980 Nov,185.801326839176,103.678477902384,22.6007244982898,31.8387529839661,27.2197387411279
1980 Dec,178.472166312517,107.723310206769,22.7471263399104,31.662479813123,27.2048030765167
1981 Jan,285.760370502811,95.1669858122718,22.4746908762,30.3646899654929,26.4196904208465
1981 Feb,244.842775468996,86.2761514878132,22.0360883481404,30.5155293810499,26.2758088645951
1981 Mar,200.35117071479,104.192192575635,22.6283862705016,31.7933920397743,27.2108891551379
1981 Apr,217.822366308178,104.240333229832,22.7329770154031,31.608208700703,27.1705928580531
1981 May,192.704701130207,99.1441222443383,22.6721505829341,31.3051103183071,26.9886304506206
1981 Jun,114.027049470935,102.222779635847,22.2754470896674,31.4008191595886,26.838133124628
1981 Jul,79.2482669734391,101.796351030028,20.9468016579852,30.4968577405154,25.7218296992503
1981 Aug,129.513643400204,109.471818892208,21.5045810276417,31.9834251826127,26.7440031051272
1981 Sep,157.722412566462,101.263845033194,21.6769255798009,31.6829489002566,26.6799372400288
1981 Oct,92.0200047295474,121.975948438137,22.7019711953353,32.7056710876156,27.7038211414754
1981 Nov,212.844777564325,105.56509905454,22.5790637567434,32.1561101187381,27.3675869377407
1981 Dec,170.485720064513,109.082455862909,22.4468976880194,31.7118848340842,27.0793912610518
1982 Jan,295.287824986249,94.6259571560741,22.1372107520179,30.3557077012096,26.2464592266137
1982 Feb,315.354768087173,85.0798131594291,21.9521164559552,30.3180155036617,26.1350659798084
1982 Mar,284.034814301327,93.8919177400995,22.3654483562891,30.5780730687109,26.4717607125
1982 Apr,381.087753535728,91.0713423554009,22.3777838776568,30.6385847362541,26.5081843069554
1982 May,249.842593511886,101.038894780289,22.5047458241654,30.8794546948291,26.6921002594973
1982 Jun,80.7068887067264,107.366584485099,22.3517259898741,31.5112609393028,26.9314934645884
1982 Jul,69.1652869811425,118.853876472225,22.0841494882623,31.8998963999871,26.9920229441247
1982 Aug,56.8615741560445,130.846737944868,22.070029880373,32.5823695792067,27.3261997297898
1982 Sep,88.4074112169841,131.220101970187,22.7210319342228,33.429903567237,28.0754677507299
1982 Oct,89.6703432551502,138.356163778249,22.6878627297259,33.5688380547029,28.1283503922144
1982 Nov,77.4162498155289,130.688024817134,23.0687797809729,33.533510221297,28.3011450011349
1982 Dec,213.026921957908,97.5934469982012,22.7166484276469,31.4248821326261,27.0707652801365
1983 Jan,48.9912030174887,104.298235683046,23.7697259502844,33.5751316560591,28.6724288031718
1983 Feb,130.866868961492,107.867121273244,23.9532923460611,33.1666329537825,28.5599626499218
1983 Mar,303.999708565029,102.469129260475,23.8835603324801,32.3253989069488,28.1044796197145
1983 Apr,286.237618073909,129.599915785197,23.259722426375,31.6721205235468,27.4659214749609
1983 May,174.983629762774,127.945819508395,23.3591497468229,32.4656118246225,27.9123807857227
1983 Jun,114.774186464456,113.469879862825,22.442784051312,31.6976121887418,27.0701981200269
1983 Jul,82.6025617291942,128.932381069872,22.2287097351313,32.6549750275456,27.4418423813385
1983 Aug,157.629930620363,131.986724746298,22.1937006116482,31.7550068320289,26.9743537218386
1983 Sep,126.008488940064,120.886331352256,22.4229098483656,32.859491189509,27.6412005189373
1983 Oct,158.371051523107,116.681472335341,22.5445567096638,31.4336973824877,26.9891270460758
1983 Nov,123.106337801239,108.87710385774,22.7520612788153,31.9556959769194,27.3538786278674
1983 Dec,275.966445561697,108.671651494574,22.3142975328259,30.2846511047882,26.2994743188071
1984 Jan,301.387242864575,121.396661354945,21.7776025854738,30.197288320592,25.9874454530329
1984 Feb,331.931533136311,109.694117273805,21.6901141433078,29.8182712041998,25.7541926737538
1984 Mar,254.100238701296,110.222637880483,22.4275045371233,30.5888357521082,26.5081701446158
1984 Apr,274.967354633399,93.6510626973485,22.5113996449307,30.4772529323661,26.4943262886484
1984 May,270.573935288649,110.480072144221,22.2619947996684,30.5673204190086,26.4146576093385
1984 Jun,122.627251004326,106.076508110092,22.0664906345646,31.4726740139241,26.7695823242443
1984 Jul,140.689878441173,115.599290788526,21.6579892212572,31.6166210859007,26.637305153579
1984 Aug,94.7463496394411,130.463230381351,21.9006983787419,31.8538198174354,26.8772590980887
1984 Sep,172.874997251838,120.965170657141,21.9309237094556,31.8996299675936,26.9152768385246
1984 Oct,161.359406939625,115.621450758545,22.5499131544375,32.3335682835645,27.441740719001
1984 Nov,138.494509629244,122.666924524589,22.5224537192952,32.4369560832338,27.4797049012645
1984 Dec,248.500508686495,116.632835221714,22.626518245871,31.3403703493343,26.9834442976027
1985 Jan,270.871722678461,87.4317052378457,22.2167088537185,30.4323864216157,26.3245476376671
1985 Feb,212.436496807979,105.173680447968,22.0248893260553,30.6713422076337,26.3481157668445
1985 Mar,241.232219086596,104.684894979353,22.5343384303126,31.1110116176238,26.8226750239682
1985 Apr,162.091986928466,98.0348535924268,22.6164125175401,31.7567638581556,27.1865881878479
1985 May,333.190137287569,111.345065239619,22.2316793025644,30.815761841397,26.5237205719807
1985 Jun,193.52674606707,99.7622607868804,21.7375656850239,30.6856963656123,26.2116310253181
1985 Jul,148.313646626896,126.164859599616,21.7218130566414,31.1360243782558,26.4289187174486
1985 Aug,122.857550257056,135.962716872876,21.7548408038654,31.9069456885757,26.8308932462206
1985 Sep,79.5365415606978,126.490143203171,22.3939713299392,32.8340035959579,27.6139874629485
1985 Oct,123.908704169403,114.834765415925,22.8015163361196,32.8365667888877,27.8190415625036
1985 Nov,173.878069787336,113.206787162984,22.8369513238911,31.7414304789707,27.2891909014309
1985 Dec,305.700700680885,108.498337716041,22.680284186296,30.8027003128626,26.7414922495793
1986 Jan,268.657222950952,95.9385170809616,22.3186074020435,30.4348321970375,26.3767197995405
1986 Feb,256.803083227936,96.6607629674426,22.1338431752544,30.5125219735269,26.3231825743907
1986 Mar,312.053437791632,99.1062524558524,22.0362111550521,29.8340209965306,25.9351160757913
1986 Apr,354.227847471745,99.5832930076757,22.6143059115438,30.9954564634395,26.8048811874916
1986 May,252.340565201799,106.371426635945,22.6579394048351,31.0175223830184,26.8377308939267
1986 Jun,183.83317565918,97.5962526614849,22.4371106480706,30.785160557523,26.6111356027968
