file_id,dataset_id,mip_era,activity_drs,institution_id,source_id,experiment_id,member_id,table_id,frequency,grid_label,version,nominal_resolution,variable_id,variable_long_name.x,variable_units,datetime_start,datetime_end,file_size,data_node,file_url,tracking_id,variable_long_name0,variable_long_name.y,source_id.y,dir,file_name,path
CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r1i1p1f1.Amon.hfls.gn.v20190708.hfls_Amon_CAMS-CSM1-0_historical_r1i1p1f1_gn_185001-201412.nc|esg.camscma.cn,CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r1i1p1f1.Amon.hfls.gn.v20190708|esg.camscma.cn,CMIP6,CMIP,CAMS,CAMS-CSM1-0,historical,r1i1p1f1,Amon,mon,gn,1,100 km,hfls,Surface Upward Latent Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577568,esg.camscma.cn,http://esg.camscma.cn/thredds/fileServer/cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/historical/r1i1p1f1/Amon/hfls/gn/v20190708/hfls_Amon_CAMS-CSM1-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/8bf66647-2b92-45c8-b7b2-eaa8cf2c7773,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,cams_csm1_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/historical,hfls_historical_CAMS-CSM1-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/historical/hfls_historical_CAMS-CSM1-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r1i1p1f1.Amon.hfss.gn.v20190708.hfss_Amon_CAMS-CSM1-0_historical_r1i1p1f1_gn_185001-201412.nc|esg.camscma.cn,CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r1i1p1f1.Amon.hfss.gn.v20190708|esg.camscma.cn,CMIP6,CMIP,CAMS,CAMS-CSM1-0,historical,r1i1p1f1,Amon,mon,gn,1,100 km,hfss,Surface Upward Sensible Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577284,esg.camscma.cn,http://esg.camscma.cn/thredds/fileServer/cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/historical/r1i1p1f1/Amon/hfss/gn/v20190708/hfss_Amon_CAMS-CSM1-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/e4a9478b-1155-4334-a6d6-3712a434fdea,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,cams_csm1_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/historical,hfss_historical_CAMS-CSM1-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/historical/hfss_historical_CAMS-CSM1-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r1i1p1f1.Amon.pr.gn.v20190708.pr_Amon_CAMS-CSM1-0_historical_r1i1p1f1_gn_185001-201412.nc|esg.camscma.cn,CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r1i1p1f1.Amon.pr.gn.v20190708|esg.camscma.cn,CMIP6,CMIP,CAMS,CAMS-CSM1-0,historical,r1i1p1f1,Amon,mon,gn,1,100 km,pr,Precipitation,kg m-2 s-1,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577152,esg.camscma.cn,http://esg.camscma.cn/thredds/fileServer/cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/historical/r1i1p1f1/Amon/pr/gn/v20190708/pr_Amon_CAMS-CSM1-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/86b542af-fc23-46b3-81e7-eae00040a1df,Precipitation,precipitation,cams_csm1_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/historical,pr_historical_CAMS-CSM1-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/historical/pr_historical_CAMS-CSM1-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r1i1p1f1.Amon.tas.gn.v20190708.tas_Amon_CAMS-CSM1-0_historical_r1i1p1f1_gn_185001-201412.nc|esg.camscma.cn,CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r1i1p1f1.Amon.tas.gn.v20190708|esg.camscma.cn,CMIP6,CMIP,CAMS,CAMS-CSM1-0,historical,r1i1p1f1,Amon,mon,gn,1,100 km,tas,Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577448,esg.camscma.cn,http://esg.camscma.cn/thredds/fileServer/cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/historical/r1i1p1f1/Amon/tas/gn/v20190708/tas_Amon_CAMS-CSM1-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/9c0e170e-a3ad-48e7-a8a6-1a109ffe2df8,Near-Surface Air Temperature,near_surface_air_temperature,cams_csm1_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/historical,tas_historical_CAMS-CSM1-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/historical/tas_historical_CAMS-CSM1-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.hfls.gn.v20201227.hfls_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.hfls.gn.v20201227|esg.lasg.ac.cn,CMIP6,CMIP,CAS,CAS-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20201227,100 km,hfls,Surface Upward Latent Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,259592880,esg.lasg.ac.cn,https://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/CAS-ESM2-0/historical/r1i1p1f1/Amon/hfls/gn/v20201227/hfls_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/903e3d59-4762-42a5-857e-af7a85f8c6c7,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical,hfls_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical/hfls_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.hfss.gn.v20201227.hfss_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.hfss.gn.v20201227|esg.lasg.ac.cn,CMIP6,CMIP,CAS,CAS-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20201227,100 km,hfss,Surface Upward Sensible Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,259592596,esg.lasg.ac.cn,https://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/CAS-ESM2-0/historical/r1i1p1f1/Amon/hfss/gn/v20201227/hfss_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/4e2ada32-9d20-417a-9148-028fa785fa00,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical,hfss_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical/hfss_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.pr.gn.v20201227.pr_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.pr.gn.v20201227|esg.lasg.ac.cn,CMIP6,CMIP,CAS,CAS-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20201227,100 km,pr,Precipitation,kg m-2 s-1,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,259592464,esg.lasg.ac.cn,https://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/CAS-ESM2-0/historical/r1i1p1f1/Amon/pr/gn/v20201227/pr_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/14781074-4117-4ae2-94eb-8576a9c20440,Precipitation,precipitation,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical,pr_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical/pr_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.tas.gn.v20201227.tas_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.tas.gn.v20201227|esg.lasg.ac.cn,CMIP6,CMIP,CAS,CAS-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20201227,100 km,tas,Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,259592784,esg.lasg.ac.cn,https://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/CAS-ESM2-0/historical/r1i1p1f1/Amon/tas/gn/v20201227/tas_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/7a461307-fffb-4742-af84-9d1c746a6d9b,Near-Surface Air Temperature,near_surface_air_temperature,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical,tas_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical/tas_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.tasmax.gn.v20201227.tasmax_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.tasmax.gn.v20201227|esg.lasg.ac.cn,CMIP6,CMIP,CAS,CAS-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20201227,100 km,tasmax,Daily Maximum Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,259592888,esg.lasg.ac.cn,https://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/CAS-ESM2-0/historical/r1i1p1f1/Amon/tasmax/gn/v20201227/tasmax_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/1e0b9cf2-4b12-49e3-8e80-2520581b8e2d,Daily Maximum Near-Surface Air Temperature,daily_maximum_near_surface_air_temperature,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical,tasmax_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical/tasmax_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc
CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.tasmin.gn.v20201227.tasmin_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,CMIP6.CMIP.CAS.CAS-ESM2-0.historical.r1i1p1f1.Amon.tasmin.gn.v20201227|esg.lasg.ac.cn,CMIP6,CMIP,CAS,CAS-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20201227,100 km,tasmin,Daily Minimum Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,259592888,esg.lasg.ac.cn,https://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/CAS-ESM2-0/historical/r1i1p1f1/Amon/tasmin/gn/v20201227/tasmin_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/fd4c7edb-dde3-4ac7-baf4-86a0ef7da909,Daily Minimum Near-Surface Air Temperature,daily_minimum_near_surface_air_temperature,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical,tasmin_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/historical/tasmin_historical_CAS-ESM2-0_1850-01-01--2014-12-01.nc
